Trial,accuracy,precision,recall,f1,n_features
1,0.6142857142857143,0.25,0.08695652173913043,0.12903225806451613,46
2,0.6428571428571429,0.375,0.13043478260869565,0.1935483870967742,39
3,0.6285714285714286,0.4,0.2608695652173913,0.3157894736842105,42
4,0.6285714285714286,0.2,0.043478260869565216,0.07142857142857142,43
5,0.6714285714285714,0.5,0.2608695652173913,0.34285714285714286,46
6,0.6857142857142857,0.5454545454545454,0.2608695652173913,0.35294117647058826,42
7,0.7142857142857143,0.6666666666666666,0.2608695652173913,0.375,36
8,0.6857142857142857,0.5555555555555556,0.21739130434782608,0.3125,45
9,0.6428571428571429,0.375,0.13043478260869565,0.1935483870967742,41
10,0.7,0.5714285714285714,0.34782608695652173,0.43243243243243246,44
11,0.7142857142857143,0.6666666666666666,0.2608695652173913,0.375,34
12,0.6714285714285714,0.5,0.30434782608695654,0.3783783783783784,49
13,0.7,0.625,0.21739130434782608,0.3225806451612903,38
14,0.6285714285714286,0.2,0.043478260869565216,0.07142857142857142,33
15,0.6857142857142857,0.5555555555555556,0.21739130434782608,0.3125,42
16,0.6714285714285714,0.5,0.08695652173913043,0.14814814814814814,37
17,0.6428571428571429,0.375,0.13043478260869565,0.1935483870967742,54
18,0.6285714285714286,0.3333333333333333,0.13043478260869565,0.1875,36
19,0.6714285714285714,0.5,0.2608695652173913,0.34285714285714286,40
20,0.7142857142857143,0.6666666666666666,0.2608695652173913,0.375,40
average,0.667142857142857,0.46806637806637796,0.19565217391304346,0.27130095511006574,41.35
