Trial,accuracy,precision,recall,f1,n_features
1,0.7714285714285715,0.7692307692307693,0.43478260869565216,0.5555555555555556,45
2,0.7285714285714285,0.625,0.43478260869565216,0.5128205128205128,40
3,0.7428571428571429,0.7272727272727273,0.34782608695652173,0.47058823529411764,62
4,0.7142857142857143,0.6363636363636364,0.30434782608695654,0.4117647058823529,79
5,0.7142857142857143,0.6,0.391304347826087,0.47368421052631576,32
6,0.7,0.5714285714285714,0.34782608695652173,0.43243243243243246,64
7,0.6857142857142857,0.5454545454545454,0.2608695652173913,0.35294117647058826,76
8,0.7142857142857143,0.6363636363636364,0.30434782608695654,0.4117647058823529,72
9,0.7285714285714285,0.6111111111111112,0.4782608695652174,0.5365853658536586,62
10,0.7142857142857143,0.6153846153846154,0.34782608695652173,0.4444444444444444,81
11,0.7,0.5714285714285714,0.34782608695652173,0.43243243243243246,62
12,0.7,0.5625,0.391304347826087,0.46153846153846156,33
13,0.7571428571428571,0.7142857142857143,0.43478260869565216,0.5405405405405406,27
14,0.7285714285714285,0.6428571428571429,0.391304347826087,0.4864864864864865,44
15,0.7428571428571429,0.6923076923076923,0.391304347826087,0.5,57
16,0.7428571428571429,0.7272727272727273,0.34782608695652173,0.47058823529411764,25
17,0.7428571428571429,0.6666666666666666,0.43478260869565216,0.5263157894736842,76
18,0.7571428571428571,0.6875,0.4782608695652174,0.5641025641025641,80
19,0.7428571428571429,0.6470588235294118,0.4782608695652174,0.55,53
20,0.7,0.5714285714285714,0.34782608695652173,0.43243243243243246,73
average,0.7264285714285714,0.6410457761193055,0.3847826086956522,0.4783509143731527,57.15
